ID,Name,Bench,Num,Version
cpu1945,Intel Xeon E5-1410 @ 2.80GHz,4634,1410,1
cpu2589,Intel Xeon E5-1410 v2 @ 2.80GHz,5842,1410,2
cpu3556,Intel Xeon E5-1428L v2 @ 2.20GHz,6566,1428,2
cpu1209,Intel Xeon E5-1603 @ 2.80GHz,3471,1603,1
cpu2457,Intel Xeon E5-1603 v3 @ 2.80GHz,4489,1603,3
cpu2959,Intel Xeon E5-1603 v4 @ 2.80GHz,4812,1603,4
cpu1434,Intel Xeon E5-1607 @ 3.00GHz,3729,1607,1
cpu2192,Intel Xeon E5-1607 v2 @ 3.00GHz,4270,1607,2
cpu2493,Intel Xeon E5-1607 v3 @ 3.10GHz,4992,1607,3
cpu2885,Intel Xeon E5-1607 v4 @ 3.10GHz,5290,1607,4
cpu1210,Intel Xeon E5-1620 @ 3.60GHz,5866,1620,1
cpu2047,Intel Xeon E5-1620 v2 @ 3.70GHz,6532,1620,2
cpu2409,Intel Xeon E5-1620 v3 @ 3.50GHz,7005,1620,3
cpu2777,Intel Xeon E5-1620 v4 @ 3.50GHz,7433,1620,4
cpu2384,Intel Xeon E5-1630 v3 @ 3.70GHz,7470,1630,3
cpu2827,Intel Xeon E5-1630 v4 @ 3.70GHz,7615,1630,4
cpu1211,Intel Xeon E5-1650 @ 3.20GHz,8105,1650,1
cpu2066,Intel Xeon E5-1650 v2 @ 3.50GHz,9300,1650,2
cpu2389,Intel Xeon E5-1650 v3 @ 3.50GHz,10382,1650,3
cpu2838,Intel Xeon E5-1650 v4 @ 3.60GHz,11443,1650,4
cpu1212,Intel Xeon E5-1660 @ 3.30GHz,8389,1660,1
cpu2120,Intel Xeon E5-1660 v2 @ 3.70GHz,10192,1660,2
cpu2412,Intel Xeon E5-1660 v3 @ 3.00GHz,12273,1660,3
cpu2866,Intel Xeon E5-1660 v4 @ 3.20GHz,13350,1660,4
cpu2342,Intel Xeon E5-1680 v2 @ 3.00GHz,12455,1680,2
cpu2497,Intel Xeon E5-1680 v3 @ 3.20GHz,13161,1680,3
cpu2869,Intel Xeon E5-1680 v4 @ 3.40GHz,13598,1680,4
cpu2755,Intel Xeon E5-1681 v3 @ 2.90GHz,14820,1681,3
cpu1827,Intel Xeon E5-2403 @ 1.80GHz,2363,2403,1
cpu2519,Intel Xeon E5-2403 v2 @ 1.80GHz,2873,2403,2
cpu1856,Intel Xeon E5-2407 @ 2.20GHz,2661,2407,1
cpu2354,Intel Xeon E5-2407 v2 @ 2.40GHz,3504,2407,2
